trench,profile,lon_x,lat_x,z_a,W,theta_l,theta_s,A,S,h_f,d_f,lon_y,lat_y,age_Ma,sed_m
aleutian,0,181.084,50.3371870938,-7320.07167836,37.0313713663,3.904381679608173,2.3789579836612376,0.24277275743409543,56.631383278330645,602.0329395250001,74.0594400289,-178.916,50.3371870938,53.9839342927,310.996926263
aleutian,1,181.228,50.3494395991,-7327.36682357,38.0312556475,4.807680131028099,1.9625779356446011,0.42023541309138707,58.30343603621049,580.8147912249997,71.0557010035,-178.772,50.3494395991,54.1519070926,291.622803707
aleutian,2,181.373,50.3509177631,-7335.16809986,37.0301479841,5.65214846050624,1.8221104372243957,0.5124304731328929,58.435003075989115,620.3974186575006,76.05892483515001,-178.627,50.3509177631,54.3573585042,274.290467962
aleutian,3,181.517,50.3509177631,-7331.79853823,39.0318874393,3.6655210563702445,2.054671011881469,0.2816076847190738,61.60995998683111,724.8524054400004,72.0558282168,-178.483,50.3509177631,54.5713908755,259.984724721
aleutian,4,181.662,50.3455536935,-7332.59506436,39.0318553189,3.7235340292458328,2.08725201018901,0.28159391998814115,59.94776026579536,708.4599270549998,72.0557688202,-178.338,50.3455536935,54.7733508953,248.774864952
aleutian,5,181.806,50.3455536935,-7329.71676499,36.0294128654,3.9985737340193688,2.001773909959767,0.3327806891427747,53.48463945042726,1235.8559788850007,60.0470282346,-178.194,50.3455536935,54.9565656453,238.875352584
aleutian,6,181.95,50.3522914675,-7324.56915271,36.0326671764,3.2207216999467434,2.3017584857000744,0.16640407631250487,55.32476149459758,559.0711128599996,75.0645579921,-178.05,50.3522914675,55.0904154699,230.268500833
aleutian,7,182.095,50.3868649334,-7329.69596357,36.031736932200005,4.362005574628194,2.1842210200157997,0.3326778447287814,55.84345631754947,450.80037945000004,77.0644724661,-177.905,50.3868649334,55.0745679954,220.835055657
aleutian,8,182.243,50.3868649334,-7331.47853927,31.026336887070002,5.0051965114636205,2.38817512720096,0.35396859675991577,48.92121000690445,390.15543221749977,67.05434400295,-177.757,50.3868649334,55.1211402312,214.565661673
aleutian,9,182.382,50.3635278594,-7322.72830075,32.0273227694,3.548381534724718,2.7613068800014893,0.12474065326051155,46.51601115238125,522.4051647024999,65.05277774666,-177.618,50.3635278594,55.2692607334,211.737057894
aleutian,10,182.516,50.3635278594,-7323.1954763,29.0269857819,3.329078334623397,2.035911565421416,0.2410380621948942,41.19164466375633,509.1632592200003,50.0450836457,-177.484,50.3635278594,55.299211101,208.455670192
aleutian,11,182.648,50.406336605,-7318.00102853,37.0377146651,4.0767528074762325,1.9594334827840671,0.3507710370219305,56.77150391867474,570.2544276500003,72.0706092568,-177.352,50.406336605,55.1192297694,205.370248758
aleutian,12,182.781,50.4220244276,-7316.08819621,27.02333925739,8.967388688887747,1.5720402374910434,0.701683981461949,38.40297211431239,710.3299492750002,70.058065769,-177.219,50.4220244276,55.0810045348,206.518503284
aleutian,13,182.922,50.433367074,-7323.25937961,32.02686889588,7.411085888940689,1.379892341951685,0.6860662589056116,44.85260762472659,958.2055170599997,71.0572182563,-177.078,50.433367074,55.0604004503,210.096430377
